id,customer,ordered_at,store_id,subtotal,tax_paid,order_total
363ab5f2-78b4-4227-9333-9701ef388434,ae3a050d-287f-4257-a778-cdb4206aa012,2016-09-01T14:49:00,a9128331-08d7-41a2-b615-21283eee21cf,1700,102,1802
d6cdb882-aa8c-4b5a-a478-4321eff284e6,33a51363-1989-4967-93a1-b8e225b91e84,2016-09-01T08:21:00,a9128331-08d7-41a2-b615-21283eee21cf,600,36,636
ca934a93-aca1-4aeb-9786-efb0da1ee26a,2f8f7de0-4c62-4b87-8494-6a50d68052ad,2016-09-01T08:59:00,a9128331-08d7-41a2-b615-21283eee21cf,700,42,742
ecd64383-c4df-41aa-b270-f3b110057558,46f7be1b-f2bc-4a91-a7c3-88c141564e31,2016-09-01T16:42:00,a9128331-08d7-41a2-b615-21283eee21cf,500,30,530
adae1fcd-20b7-4f40-af1c-dc121d648d4f,c616a2a2-5efc-4e22-9db1-50dfa4d331d1,2016-09-01T09:07:00,a9128331-08d7-41a2-b615-21283eee21cf,600,36,636
43565eda-548a-4d00-afae-c4b5d37e7524,eb6593b0-95ca-4ca5-9153-41f1f28ae221,2016-09-01T08:10:00,a9128331-08d7-41a2-b615-21283eee21cf,600,36,636
0116c37e-224e-4bd6-9e94-6c0588315b2d,b515e78b-ff05-45fb-b035-8c6476c509b7,2016-09-01T11:39:00,a9128331-08d7-41a2-b615-21283eee21cf,1300,78,1378
3f075493-a0a0-4d87-95f9-5e6f23b9bf33,93423179-917e-4abd-96cf-1b60df815813,2016-09-01T08:26:00,a9128331-08d7-41a2-b615-21283eee21cf,500,30,530
ca72c9ad-9474-49fa-95f4-4315dfcc21bb,aa410077-7868-4030-9a3b-7d0088645702,2016-09-01T07:28:00,a9128331-08d7-41a2-b615-21283eee21cf,600,36,636
9705e997-90ad-438d-991c-cd109c05a4de,93dfc61d-0407-42ea-b068-bc405189576b,2016-09-01T08:25:00,a9128331-08d7-41a2-b615-21283eee21cf,500,30,530
a6d0af79-a093-4b4e-b774-dd2f06788ae0,7263d533-33d2-4883-973b-3e0f82524929,2016-09-01T07:54:00,a9128331-08d7-41a2-b615-21283eee21cf,400,24,424
4aa55815-9db4-4a81-be59-c14968a46381,b03e0bda-5917-4cc6-9d3a-db6d9358a50f,2016-09-01T13:49:00,a9128331-08d7-41a2-b615-21283eee21cf,1900,113,2013
